650.0 	  5.159127746724e-02    0.000000000000e+00
660.0 	  3.749815652254e-02    0.000000000000e+00
670.0 	  2.795691695370e-02    0.000000000000e+00
680.0 	  2.139069441810e-02    0.000000000000e+00
690.0 	  1.680606787435e-02    0.000000000000e+00
700.0 	  1.356663489809e-02    0.000000000000e+00
710.0 	  1.125826649742e-02    0.000000000000e+00
720.0 	  9.607535781998e-03    0.000000000000e+00
730.0 	  8.431443316425e-03    0.000000000000e+00
740.0 	  7.605857491939e-03    0.000000000000e+00
750.0 	  7.045432665505e-03    0.000000000000e+00
760.0 	  6.690834322954e-03    0.000000000000e+00
770.0 	  6.500567892482e-03    0.000000000000e+00
780.0 	  6.445009710064e-03    0.000000000000e+00
790.0 	  6.500209729436e-03    0.000000000000e+00
800.0 	  6.639897914442e-03    0.000000000000e+00
810.0 	  6.827302527791e-03    0.000000000000e+00
820.0 	  7.012444062153e-03    0.000000000000e+00
830.0 	  7.137296872803e-03    0.000000000000e+00
840.0 	  7.144633711361e-03    0.000000000000e+00
850.0 	  6.992504349264e-03    0.000000000000e+00
860.0 	  6.672915827891e-03    0.000000000000e+00
870.0 	  6.214856564825e-03    0.000000000000e+00
880.0 	  5.666640805777e-03    0.000000000000e+00
890.0 	  5.076739697186e-03    0.000000000000e+00
900.0 	  4.484282251963e-03    0.000000000000e+00
910.0 	  3.917050723980e-03    0.000000000000e+00
920.0 	  3.392618853756e-03    0.000000000000e+00
930.0 	  2.920353183618e-03    0.000000000000e+00
940.0 	  2.503492416723e-03    0.000000000000e+00
950.0 	  2.141049410074e-03    0.000000000000e+00
975.0 	  1.446127824208e-03    0.000000000000e+00
1000.0 	  9.864304988509e-04    0.000000000000e+00
1025.0 	  6.857610018219e-04    0.000000000000e+00
1050.0 	  4.880243620122e-04    0.000000000000e+00
1075.0 	  3.557019358928e-04    0.000000000000e+00
1100.0 	  2.646053845517e-04    0.000000000000e+00
1125.0 	  1.996158308747e-04    0.000000000000e+00
1150.0 	  1.517411209835e-04    0.000000000000e+00
1175.0 	  1.158347978702e-04    0.000000000000e+00
1200.0 	  8.879638649917e-05    0.000000000000e+00
1250.0 	  5.319229555115e-05    0.000000000000e+00
1300.0 	  3.283405096568e-05    0.000000000000e+00
